project_name	location	url_link	tenure	median_psf	median_price	filed_transactions
TAMAN DESA GOMBAK	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-desa-gombak/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	206	400000.0	61
VILLA LAGENDA CONDO	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/villa-lagenda-condo/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	256	385000.0	60
JALAN BEDARA	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/jalan-bedara/non-landed/?range=1909+May-	FREEHOLD	145	140000.0	60
MENARA ANTARA	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/menara-antara/non-landed/?range=1909+May-	FREEHOLD	410	640000.0	60
OFF JALAN KELANG LAMA	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/off-jalan-kelang-lama/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	210	1175000.0	60
KAMPUNG MALAYSIA RAYA / TAMBAHAN	BANDAR TASIK SELATAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-tasik-selatan/kampung-malaysia-raya---tambahan/landed/?range=1909+May-	LEASEHOLD	53	220000.0	59
PRIMA RIA APARTMENT	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/prima-ria-apartment/non-landed/?range=1909+May-	FREEHOLD	196	235000.0	59
TAMAN CITY	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/taman-city/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	192	295000.0	59
JALAN PADANG WALTER GRENIER	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/jalan-padang-walter-grenier/non-landed/?range=1909+May-	FREEHOLD	205	250000.0	59
CONTINENTAL PARK	KUCHAI LAMA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kuchai-lama/continental-park/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	188	300000.0	59
ANJALI NORTH KIARA	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/anjali-north-kiara/non-landed/?range=1909+May-	FREEHOLD	637	1017800.0	59
SRI LANGIT	SEPUTEH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/seputeh/sri-langit/non-landed/?range=1909+May-	FREEHOLD	585	1750000.0	59
SERI TITIWANGSA CONDOMINIUM	TITIWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/titiwangsa/seri-titiwangsa-condominium/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	398	640000.0	59
WICKHAM MANOR	AMPANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/ampang/wickham-manor/non-landed/?range=1909+May-	FREEHOLD	319	561980.0	58
DESA BANGSARIA	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/desa-bangsaria/non-landed/?range=1909+May-	FREEHOLD	620	1210000.0	58
TAMAN AMAN PUTRA	JINJANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jinjang/taman-aman-putra/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	83	60000.0	58
KIARAMAS AYURIA CONDO	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/kiaramas-ayuria-condo/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	503	916330.0	58
LUCKY GARDEN (JALAN PUCHONG)	PUCHONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/puchong/lucky-garden--jalan-puchong-/landed/?range=1909+May-	FREEHOLD	108	199500.0	58
DEWANA MANSION	SALAK SOUTH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/salak-south/dewana-mansion/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	109	86500.0	58
M CITY	AMPANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/ampang/m-city/non-landed/?range=1909+May-	FREEHOLD	774	720000.0	57
TAMAN BATU MUDA	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-batu-muda/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	101	260000.0	57
ARENA SHAMELIN	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/arena-shamelin/non-landed/?range=1909+May-	LEASEHOLD	342	350000.0	57
SOMMERSET CLOSE SURIA PERMAISURI	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/sommerset-close-suria-permaisuri/landed/?range=1909+May-	LEASEHOLD	292	630000.0	57
KENSINGTON PARKHOMES	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/kensington-parkhomes/landed/?range=1909+May-	FREEHOLD	491	1180000.0	57
IPOH ROAD GARDEN	JALAN IPOH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-ipoh/ipoh-road-garden/landed/?range=1909+May-	FREEHOLD	139	200000.0	57
ANGKASA IMPIAN	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/angkasa-impian/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	265	350000.0	57
KONDOMINIUM RAFFLESIA	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/kondominium-rafflesia/non-landed/?range=1909+May-	LEASEHOLD	466	506000.0	57
CASA GREEN	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/casa-green/non-landed/?range=1909+May-	LEASEHOLD	499	500000.0	56
TAMAN TENAGA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-tenaga/non-landed/?range=1909+May-	LEASEHOLD	70	83000.0	56
DAMANSARA ENDAH	DAMANSARA HEIGHTS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/damansara-heights/damansara-endah/landed/?range=1909+May-	FREEHOLD	475	3019500.0	56
LANAI GURNEY	KERAMAT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/keramat/lanai-gurney/non-landed/?range=1909+May-	FREEHOLD	353	500000.0	56
PKNS JALAN SUNGAI BARU	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/pkns-jalan-sungai-baru/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	124	65500.0	56
TARAGON YAP KWAN SENG	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/taragon-yap-kwan-seng/non-landed/?range=1909+May-	FREEHOLD	529	1070000.0	56
TAMAN SERI BUKIT SEGAMBUT	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/taman-seri-bukit-segambut/landed/?range=1909+May-	FREEHOLD	403	784760.0	56
MENARA CASA RIA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/menara-casa-ria/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	186	210000.0	55
SRI MURNI	DAMANSARA HEIGHTS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/damansara-heights/sri-murni/non-landed/?range=1909+May-	FREEHOLD	543	1200000.0	55
PINANG 1B GALLERY 1E	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/pinang-1b-gallery-1e/non-landed/?range=1909+May-	LEASEHOLD	283	250000.0	55
TAMAN CASTLEFIELD APARTMENT	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/taman-castlefield-apartment/non-landed/?range=1909+May-	LEASEHOLD	171	118000.0	55
M SUITES	AMPANG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/ampang/m-suites/non-landed/?range=1909+May-	FREEHOLD	990	636400.0	54
VILLA MAKMUR CONDOMINIUM	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/villa-makmur-condominium/non-landed/?range=1909+May-	FREEHOLD	350	400000.0	54
BAMBOO GARDEN	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/bamboo-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	174	285000.0	54
PLATINUM SUITES (THE FACE SUITES)	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/platinum-suites--the-face-suites-/non-landed/?range=1909+May-	FREEHOLD	1330	1397500.0	54
RICHMOORE HOTEL SUIT/ACE ELECTRONIC MALL	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/richmoore-hotel-suit-ace-electronic-mall/non-landed/?range=1909+May-	FREEHOLD	140	80000.0	54
ONE MESRARIA	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/one-mesraria/non-landed/?range=1909+May-	FREEHOLD	201	272500.0	54
TERATAK MUHIBBAH	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/teratak-muhibbah/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	106	63500.0	54
SRI AYU TOWNHOUSE	SETIAWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setiawangsa/sri-ayu-townhouse/landed/?range=1909+May-	FREEHOLD	203	299000.0	54
TAMAN TASIK INDAH MEWAH	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-tasik-indah-mewah/landed/?range=1909+May-	LEASEHOLD	538	1899000.0	53
INDAH MAS	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/indah-mas/non-landed/?range=1909+May-	LEASEHOLD	302	230000.0	53
THE BREEZEWAY	DESA PARKCITY, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-parkcity/the-breezeway/landed/?range=1909+May-	FREEHOLD	1896	2750000.0	53
METRO PRIMA -SINAR MAGNA	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/metro-prima--sinar-magna/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	158	130000.0	53
PUTRA COURT	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/putra-court/non-landed/?range=1909+May-	FREEHOLD	235	270000.0	53
VILLA SAUJANIS	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/villa-saujanis/landed/?range=1909+May-	FREEHOLD	161	323900.0	53
TAMAN SETAPAK PERMAI	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-setapak-permai/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	204	180000.0	53
VOGUE SUITES ONE	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/vogue-suites-one/non-landed/?range=1909+May-	LEASEHOLD	1206	1025000.0	52
GOLDEN CITY	JALAN IPOH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-ipoh/golden-city/non-landed/?range=1909+May-	FREEHOLD	264	255000.0	52
VILLA ANGSANA	JALAN IPOH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-ipoh/villa-angsana/non-landed/?range=1909+May-	FREEHOLD	172	204000.0	52
DATO KERAMAT HUJUNG	KERAMAT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/keramat/dato-keramat-hujung/landed/?range=1909+May-	LEASEHOLD	146	1075000.0	52
