project_name	location	url_link	tenure	median_psf	median_price	filed_transactions
BANDAR BARU SRI PETALING	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/bandar-baru-sri-petaling/landed/?range=1909+May-	LEASEHOLD	201	332500.0	3952
TAMAN TUN DR ISMAIL	TAMAN TUN DR ISMAIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-tun-dr-ismail/taman-tun-dr-ismail/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	334	820000.0	2849
TAMAN MELATI	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-melati/non-landed/?range=1909+May-	FREEHOLD	78	52500.0	2633
DAMANSARA HEIGHTS (BUKIT DAMANSARA)	DAMANSARA HEIGHTS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/damansara-heights/damansara-heights--bukit-damansara-/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	409	2380000.0	2214
BANDAR BARU WANGSA MAJU	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/bandar-baru-wangsa-maju/non-landed/?range=1909+May-	LEASEHOLD	145	80000.0	1833
TAMAN BUKIT MALURI	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/taman-bukit-maluri/landed/?range=1909+May-	LEASEHOLD	172	336000.0	1718
KEPONG BARU	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/kepong-baru/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	157	245500.0	1714
BANDAR TASIK SELATAN	BANDAR TASIK SELATAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-tasik-selatan/bandar-tasik-selatan/non-landed/?range=1909+May-	LEASEHOLD	148	125000.0	1596
DESA PANDAN	DESA PANDAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-pandan/desa-pandan/non-landed/?range=1909+May-	LEASEHOLD	146	122000.0	1524
OVERSEAS UNION GARDEN	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/overseas-union-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	207	420000.0	1522
HAPPY GARDEN	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/happy-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	211	386000.0	1508
PANTAI HILLPARK APARTMENT	PANTAI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/pantai/pantai-hillpark-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	202	235000.0	1444
PANGSAPURI BANDAR BARU SENTUL	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/pangsapuri-bandar-baru-sentul/non-landed/?range=1909+May-	LEASEHOLD	85	46500.0	1432
TAMAN MIDAH	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-midah/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	196	330000.0	1416
ALAM DAMAI	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/alam-damai/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	211	510000.0	1360
OUG PARKLANE	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/oug-parklane/non-landed/?range=1909+May-	FREEHOLD	437	415000.0	1348
SRI PENARA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/sri-penara/non-landed/?range=1909+May-	LEASEHOLD	186	120000.0	1333
WANGSA MAJU SEKSYEN 2	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/wangsa-maju-seksyen-2/non-landed/?range=1909+May-	LEASEHOLD	237	140000.0	1310
ABADI INDAH APARTMENT	TAMAN DESA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-desa/abadi-indah-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	160	138000.0	1276
VISTA KOMANWEL	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/vista-komanwel/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	184	245000.0	1272
TAMAN SRI SINAR	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/taman-sri-sinar/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	253	190000.0	1269
BANDAR MANJALARA	BANDAR MENJALARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-menjalara/bandar-manjalara/landed/?range=1909+May-	LEASEHOLD	222	320000.0	1190
RAMPAI COURT	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/rampai-court/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	152	90000.0	1136
SRI PUTRAMAS	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/sri-putramas/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	258	288000.0	1133
ROYAL DOMAIN SRI PUTRAMAS 2	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/royal-domain-sri-putramas-2/non-landed/?range=1909+May-	FREEHOLD	345	430000.0	1107
TAMAN TERATAI MEWAH	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-teratai-mewah/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	144	98000.0	1094
ARENA GREEN	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/arena-green/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	228	195000.0	1084
THE SCOTT GARDEN	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/the-scott-garden/non-landed/?range=1909+May-	FREEHOLD	606	480000.0	1083
SOLARIS DUTAMAS	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/solaris-dutamas/non-landed/?range=1909+May-	FREEHOLD	639	676570.0	1078
TAMAN SRI CENDEKIA (TAMAN CONNAUGHT)	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-sri-cendekia--taman-connaught-/non-landed/?range=1909+May-	LEASEHOLD	119	70000.0	1032
HAPPY GARDEN FLAT	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/happy-garden-flat/non-landed/?range=1909+May-	FREEHOLD	94	70000.0	1030
PKNS ULU KELANG	SETIAWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setiawangsa/pkns-ulu-kelang/non-landed/?range=1909+May-	LEASEHOLD	124	80000.0	1018
SURIAN WANGI	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/surian-wangi/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	123	152000.0	993
GENTING COURT	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/genting-court/non-landed/?range=1909+May-	LEASEHOLD	159	126000.0	993
BANDAR TUN RAZAK	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/bandar-tun-razak/landed/?range=1909+May-	LEASEHOLD	110	145000.0	987
MONT KIARA PINES	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/mont-kiara-pines/non-landed/?range=1909+May-	FREEHOLD	321	430000.0	967
PANTAI PANORAMA	KAMPUNG KERINCHI (BANGSAR SOUTH), KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kampung-kerinchi--bangsar-south-/pantai-panorama/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	236	265000.0	961
TAMAN SRI KUCHING	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/taman-sri-kuching/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	134	105000.0	959
WANGSA MAJU SEKSYEN 1	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/wangsa-maju-seksyen-1/non-landed/?range=1909+May-	LEASEHOLD	226	120000.0	944
WANGSA MELAWATI	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/wangsa-melawati/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	249	305000.0	937
TAMAN SRI MURNI APARTMENT	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-sri-murni-apartment/non-landed/?range=1909+May-	LEASEHOLD	122	96000.0	915
SRI INTAN APARTMENT	JALAN KUCHING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/jalan-kuching/sri-intan-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	151	175000.0	909
TAMAN BUKIT CHERAS	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-bukit-cheras/non-landed/?range=1909+May-	FREEHOLD	90	56397.0	888
LAKE FIELD - MEADOWS & GLADES	SUNGAI BESI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sungai-besi/lake-field---meadows---glades/landed/?range=1909+May-	LEASEHOLD	605	1045000.0	888
VILLA WANGSAMAS	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/villa-wangsamas/non-landed/?range=1909+May-	FREEHOLD	354	470000.0	884
TAMAN SRI SEGAMBUT	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/taman-sri-segambut/landed/?range=1909+May-	LEASEHOLD	175	257200.0	872
TAMAN DESA	TAMAN DESA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-desa/taman-desa/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	275	780000.0	871
TAMAN SRI SENTOSA	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/taman-sri-sentosa/non-landed/?range=1909+May-	LEASEHOLD	108	75000.0	870
BERJAYA TIMES SQUARE	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/berjaya-times-square/non-landed/?range=1909+May-	FREEHOLD	701	500000.0	867
MARC SERVICE RESIDENCE	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/marc-service-residence/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	1212	1050000.0	866
TAMAN SETIAWANGSA	SETIAWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setiawangsa/taman-setiawangsa/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	262	500000.0	862
SETAPAK JAYA	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/setapak-jaya/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	157	100000.0	857
TAMAN SRI HARTAMAS	SRI HARTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-hartamas/taman-sri-hartamas/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	375	640000.0	854
GREENVIEW APARTMENT	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/greenview-apartment/non-landed/?range=1909+May-	LEASEHOLD	117	97000.0	841
DESA PETALING	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/desa-petaling/non-landed/?range=1909+May-	LEASEHOLD	120	65000.0	838
KETUMBAR HEIGHTS	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/ketumbar-heights/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	225	180000.0	829
ENDAH RIA	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/endah-ria/non-landed/?range=1909+May-	LEASEHOLD	192	240000.0	827
DESA SRI PUTERI	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/desa-sri-puteri/non-landed/?range=1909+May-	LEASEHOLD	124	80900.0	822
TAMAN PUSAT KEPONG	SEGAMBUT, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/segambut/taman-pusat-kepong/non-landed/?range=1909+May-	LEASEHOLD	112	100000.0	819
ENDAH VILLA	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/endah-villa/non-landed/?range=1909+May-	LEASEHOLD	176	195000.0	793
PETALING INDAH	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/petaling-indah/non-landed/?range=1909+May-	LEASEHOLD	153	140000.0	791
CEMARA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/cemara/non-landed/?range=1909+May-	LEASEHOLD	172	128000.0	789
CHANGKAT VIEW CONDOMINIUM	DUTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/dutamas/changkat-view-condominium/non-landed/?range=1909+May-	FREEHOLD	345	380000.0	775
MENARA MENJALARA	BANDAR MENJALARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-menjalara/menara-menjalara/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	223	230000.0	771
TAMAN MELATI UTAMA CONDO	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-melati-utama-condo/non-landed/?range=1909+May-	FREEHOLD	177	233500.0	769
SUNWAY SPK DAMANSARA	SUNWAY SPK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sunway-spk/sunway-spk-damansara/landed/?range=1909+May-	FREEHOLD	392	745888.0	767
TAMAN DATUK SENU	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/taman-datuk-senu/landed/?range=1909+May-	LEASEHOLD	226	139000.0	760
DANAU KOTA FLAT	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/danau-kota-flat/non-landed/?range=1909+May-	LEASEHOLD	124	87000.0	759
DESA SETAPAK	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/desa-setapak/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	304	185000.0	753
VERVE SUITES	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/verve-suites/non-landed/?range=1909+May-	FREEHOLD	993	670000.0	748
VISTA ANGKASA	PANTAI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/pantai/vista-angkasa/non-landed/?range=1909+May-	LEASEHOLD	170	150000.0	747
BAYU TASIK 1	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/bayu-tasik-1/non-landed/?range=1909+May-	LEASEHOLD	185	171108.0	745
IDAMAN SUTERA	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/idaman-sutera/non-landed/?range=1909+May-	FREEHOLD	194	167000.0	743
TAMAN SETAPAK (SETAPAK GARDEN)	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-setapak--setapak-garden-/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	155	280000.0	740
VILLA ANGSANA	SENTUL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sentul/villa-angsana/non-landed/?range=1909+May-	FREEHOLD	191	250000.0	738
BUKIT BANDARAYA	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/bukit-bandaraya/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	406	1750000.0	728
PAVILION RESIDENCES	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/pavilion-residences/non-landed/?range=1909+May-	LEASEHOLD	1327	2436045.0	717
PLAZA DAMAS	SRI HARTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-hartamas/plaza-damas/non-landed/?range=1909+May-	FREEHOLD	413	180000.0	717
TAMAN INTAN BAIDURI	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-intan-baiduri/non-landed/?range=1909+May-	LEASEHOLD	116	73000.0	713
TAMAN SRI CENDEKIA (TAMAN CONNAUGHT)	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-sri-cendekia--taman-connaught-/landed/?range=1909+May-	LEASEHOLD	175	334500.0	710
TAYNTON VIEW	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taynton-view/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	167	320000.0	710
TAMAN BUKIT ANGKASA (TAMAN ANGKASAPURI FLAT)	KAMPUNG KERINCHI (BANGSAR SOUTH), KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kampung-kerinchi--bangsar-south-/taman-bukit-angkasa--taman-angkasapuri-flat-/non-landed/?range=1909+May-	LEASEHOLD	109	75000.0	708
ENDAH REGAL	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/endah-regal/non-landed/?range=1909+May-	LEASEHOLD	221	252000.0	708
PRISMA CHERAS	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/prisma-cheras/non-landed/?range=1909+May-	FREEHOLD	161	185000.0	703
BANGSAR BARU	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/bangsar-baru/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	455	1100000.0	701
PANGSAPURI BANDARAYA GOMBAK	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/pangsapuri-bandaraya-gombak/non-landed/?range=1909+May-	LEASEHOLD	129	73000.0	698
TIVOLI VILLAS	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/tivoli-villas/non-landed/?range=1909+May-	FREEHOLD	358	350000.0	691
VILLA FLORA (TTDI FASA 7)	TAMAN TUN DR ISMAIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-tun-dr-ismail/villa-flora--ttdi-fasa-7-/non-landed/?range=1909+May-	FREEHOLD	270	393000.0	689
BUKIT ANGGERIK	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/bukit-anggerik/landed/?range=1909+May-	LEASEHOLD	142	180000.0	687
DANAU IMPIAN & DANAU IDAMAN	TAMAN DESA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-desa/danau-impian---danau-idaman/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	192	178000.0	683
MUTIARA MAGNA	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/mutiara-magna/non-landed/?range=1909+May-	LEASEHOLD	145	96500.0	682
SUASANA SENTRAL LOFT CONDO	KL SENTRAL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-sentral/suasana-sentral-loft-condo/non-landed/?range=1909+May-	FREEHOLD	669	900000.0	672
SAVANNA	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/savanna/non-landed/?range=1909+May-	FREEHOLD	436	530000.0	671
KIARAMAS AYURIA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/kiaramas-ayuria/non-landed/?range=1909+May-	FREEHOLD	592	1070000.0	671
VISTA KIARA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/vista-kiara/non-landed/?range=1909+May-	FREEHOLD	323	435000.0	671
MONT KIARA PALMA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/mont-kiara-palma/non-landed/?range=1909+May-	FREEHOLD	423	550000.0	669
DE TROPICANA	KUCHAI LAMA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kuchai-lama/de-tropicana/non-landed/?range=1909+May-	LEASEHOLD	148	155000.0	667
MIDFIELDS 1	SUNGAI BESI, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sungai-besi/midfields-1/non-landed/?range=1909+May-	LEASEHOLD	435	495000.0	667
SERI MAS CONDOMINIUM	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/seri-mas-condominium/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	138	140000.0	666
FABER RIA	TAMAN DESA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-desa/faber-ria/non-landed/?range=1909+May-	FREEHOLD	202	215000.0	665
TAMAN SEGAR APARTMENT (CHERAS HEIGHTS)	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-segar-apartment--cheras-heights-/non-landed/?range=1909+May-	FREEHOLD	119	85000.0	657
AMADESA RESORT	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/amadesa-resort/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	203	220000.0	646
TAMAN MIHARJA FASA 1	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-miharja-fasa-1/non-landed/?range=1909+May-	LEASEHOLD	131	93000.0	645
CHERAS RIA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/cheras-ria/non-landed/?range=1909+May-	FREEHOLD	119	68000.0	641
MONT KIARA BAYU	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/mont-kiara-bayu/non-landed/?range=1909+May-	FREEHOLD	487	500000.0	632
TAMAN SHAMELIN PERKASA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-shamelin-perkasa/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	137	135000.0	628
KEPONG GARDEN	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/kepong-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	202	335500.0	628
SALAK SOUTH GARDEN	SALAK SOUTH, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/salak-south/salak-south-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	146	300000.0	626
SRI PELANGI	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/sri-pelangi/non-landed/?range=1909+May-	FREEHOLD	183	170000.0	626
MENARA ALPHA	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/menara-alpha/non-landed/?range=1909+May-	LEASEHOLD	196	200000.0	626
WINDSOR TOWER	SRI HARTAMAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-hartamas/windsor-tower/non-landed/?range=1909+May-	FREEHOLD	608	438000.0	625
D' ALAMANDA	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/d--alamanda/non-landed/?range=1909+May-	LEASEHOLD	307	319480.0	621
SRI PENAGA	BANGSAR, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bangsar/sri-penaga/non-landed/?range=1909+May-	FREEHOLD	588	810000.0	614
BUKIT OUG	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/bukit-oug/non-landed/?range=1909+May-	FREEHOLD	287	320000.0	614
VILLA PUTRA	KL CITY CENTRE, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-city-centre/villa-putra/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	243	290000.0	613
TAMAN MALURI	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/taman-maluri/landed/?range=1909+May-	LEASEHOLD	194	390000.0	609
BUKIT PANDAN 1	CHERAS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/cheras/bukit-pandan-1/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	177	220000.0	605
TITIWANGSA SENTRAL	TITIWANGSA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/titiwangsa/titiwangsa-sentral/non-landed/?range=1909+May-	FREEHOLD	479	500500.0	604
SUASANA SENTRAL	KL SENTRAL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kl-sentral/suasana-sentral/non-landed/?range=1909+May-	FREEHOLD	524	900000.0	601
MEADOW PARK 2	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/meadow-park-2/non-landed/?range=1909+May-	FREEHOLD	151	137300.0	601
SENI MONT KIARA	MONT KIARA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/mont-kiara/seni-mont-kiara/non-landed/?range=1909+May-	FREEHOLD	767	2150000.0	599
WINNER COURT (TAMAN DESA PETALING)	DESA PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-petaling/winner-court--taman-desa-petaling-/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	138	116000.0	598
PLATINUM LAKE CONDO PV10	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/platinum-lake-condo-pv10/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	151	190750.0	598
FABER HEIGHTS	TAMAN DESA, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-desa/faber-heights/non-landed/?range=1909+May-	FREEHOLD	251	235000.0	594
TAMAN KOPERASI POLIS FASA 2	BATU CAVES, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/batu-caves/taman-koperasi-polis-fasa-2/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	184	170000.0	589
GREENFIELD APARTMENT	BUKIT JALIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bukit-jalil/greenfield-apartment/non-landed/?range=1909+May-	FREEHOLD, LEASEHOLD	214	222000.0	588
